epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,784.08,1.21946,1.28824,1.37465,0.65697,0.61604,0.61613,0.4478,1.52619,1.70352,1.57766,0.0004159,0.0004159,0.0004159
61,795.706,1.21552,1.27976,1.35886,0.65571,0.6035,0.63272,0.45683,1.51164,1.63288,1.58484,0.000406,0.000406,0.000406
62,807.696,1.22457,1.28581,1.37168,0.69233,0.60624,0.63312,0.45166,1.53155,1.6499,1.5997,0.0003961,0.0003961,0.0003961
63,818.845,1.23243,1.29595,1.38206,0.6956,0.61235,0.64121,0.45344,1.5278,1.61011,1.58297,0.0003862,0.0003862,0.0003862
64,830.503,1.21505,1.27316,1.37209,0.65826,0.64067,0.63668,0.46316,1.49265,1.6058,1.55291,0.0003763,0.0003763,0.0003763
65,842.403,1.1941,1.23786,1.36162,0.6511,0.61251,0.62762,0.46123,1.49254,1.64993,1.54716,0.0003664,0.0003664,0.0003664
66,853.558,1.1958,1.23866,1.35763,0.6481,0.63581,0.63443,0.45164,1.51861,1.61569,1.57308,0.0003565,0.0003565,0.0003565
67,865.607,1.19283,1.22732,1.3468,0.69269,0.6107,0.63791,0.46518,1.50573,1.62598,1.56749,0.0003466,0.0003466,0.0003466
68,877.139,1.19639,1.23182,1.35957,0.66968,0.61328,0.63866,0.45717,1.55366,1.62003,1.60569,0.0003367,0.0003367,0.0003367
69,889.045,1.19864,1.22312,1.3561,0.66574,0.63183,0.63357,0.46045,1.50569,1.60338,1.56712,0.0003268,0.0003268,0.0003268
70,900.914,1.15939,1.18478,1.33074,0.65235,0.6332,0.63197,0.45219,1.52969,1.63915,1.59929,0.0003169,0.0003169,0.0003169
71,912.101,1.17668,1.17919,1.32697,0.66531,0.62907,0.63849,0.46466,1.48325,1.56945,1.54305,0.000307,0.000307,0.000307
72,925.243,1.1776,1.17332,1.32987,0.67947,0.62439,0.64647,0.4664,1.49881,1.55921,1.55609,0.0002971,0.0002971,0.0002971
73,938.505,1.15998,1.17839,1.33752,0.64652,0.63085,0.63757,0.46887,1.47952,1.62688,1.5482,0.0002872,0.0002872,0.0002872
74,951.702,1.15868,1.16287,1.33225,0.69909,0.61783,0.65004,0.4756,1.47097,1.55492,1.53889,0.0002773,0.0002773,0.0002773
75,964.701,1.15428,1.16088,1.32481,0.69293,0.62187,0.63245,0.46146,1.47728,1.60431,1.5402,0.0002674,0.0002674,0.0002674
76,975.576,1.17925,1.16598,1.33675,0.68507,0.61604,0.63799,0.47057,1.4741,1.58234,1.54922,0.0002575,0.0002575,0.0002575
77,986.596,1.167,1.14342,1.32105,0.68003,0.63151,0.64388,0.47291,1.47264,1.60158,1.54607,0.0002476,0.0002476,0.0002476
78,998.594,1.14925,1.1567,1.3219,0.65911,0.62026,0.6254,0.45715,1.48083,1.62107,1.55956,0.0002377,0.0002377,0.0002377
79,1010.44,1.14611,1.15066,1.31252,0.62784,0.64381,0.64171,0.47132,1.48185,1.58954,1.56243,0.0002278,0.0002278,0.0002278
80,1023.26,1.14645,1.12876,1.31828,0.66386,0.63801,0.64473,0.4718,1.49648,1.56353,1.56433,0.0002179,0.0002179,0.0002179
81,1035.34,1.13958,1.13434,1.30998,0.64684,0.63471,0.64322,0.47243,1.46924,1.57888,1.53187,0.000208,0.000208,0.000208
82,1048.73,1.13258,1.1167,1.31089,0.7033,0.62016,0.64719,0.47604,1.47596,1.57823,1.54903,0.0001981,0.0001981,0.0001981
83,1062.41,1.13591,1.10357,1.29299,0.68716,0.63178,0.64207,0.46597,1.51334,1.59464,1.57119,0.0001882,0.0001882,0.0001882
84,1074.75,1.1031,1.0582,1.27897,0.6467,0.65733,0.64374,0.47522,1.47755,1.55392,1.55111,0.0001783,0.0001783,0.0001783
85,1087.08,1.11448,1.08482,1.29394,0.66209,0.63429,0.63374,0.46242,1.48756,1.60184,1.53942,0.0001684,0.0001684,0.0001684
86,1099.58,1.10091,1.06366,1.28274,0.65674,0.65667,0.64729,0.47352,1.50022,1.56283,1.55961,0.0001585,0.0001585,0.0001585
87,1112.37,1.1016,1.06467,1.28383,0.69205,0.62017,0.63915,0.46871,1.4841,1.55347,1.55726,0.0001486,0.0001486,0.0001486
88,1124.57,1.09664,1.05072,1.27581,0.65614,0.65997,0.64325,0.47945,1.47421,1.57134,1.55265,0.0001387,0.0001387,0.0001387
89,1137.25,1.11268,1.05596,1.29044,0.67484,0.64674,0.63864,0.47601,1.45548,1.57056,1.53198,0.0001288,0.0001288,0.0001288
90,1149.78,1.10086,1.0532,1.28185,0.70129,0.63478,0.63934,0.46916,1.49995,1.56792,1.5704,0.0001189,0.0001189,0.0001189
91,1162.89,0.9977,0.9328,1.2015,0.67129,0.64325,0.64059,0.47511,1.48495,1.58269,1.57396,0.000109,0.000109,0.000109
92,1174.95,0.9463,0.79839,1.16879,0.68238,0.63113,0.64395,0.48075,1.47275,1.55269,1.55891,9.91e-05,9.91e-05,9.91e-05
93,1187.56,0.94859,0.77193,1.17417,0.67918,0.64059,0.64336,0.47719,1.4796,1.57282,1.56186,8.92e-05,8.92e-05,8.92e-05
94,1200.04,0.92799,0.74501,1.15144,0.71648,0.6195,0.65336,0.48165,1.46415,1.52342,1.55344,7.93e-05,7.93e-05,7.93e-05
95,1212.39,0.91455,0.72979,1.15755,0.68502,0.64666,0.65504,0.48736,1.43765,1.53967,1.5314,6.94e-05,6.94e-05,6.94e-05
96,1224.62,0.90994,0.71528,1.1409,0.6713,0.65809,0.65529,0.49045,1.44792,1.53402,1.54226,5.95e-05,5.95e-05,5.95e-05
97,1237.03,0.92293,0.72561,1.15364,0.65828,0.66045,0.65365,0.48875,1.45959,1.54175,1.54551,4.96e-05,4.96e-05,4.96e-05
98,1248.1,0.9225,0.71649,1.14804,0.65206,0.6716,0.65098,0.48929,1.44437,1.5348,1.53967,3.97e-05,3.97e-05,3.97e-05
99,1259.81,0.91401,0.70652,1.14492,0.67411,0.65133,0.65215,0.49044,1.44775,1.54759,1.54228,2.98e-05,2.98e-05,2.98e-05
100,1271.57,0.90059,0.71193,1.13463,0.67598,0.64617,0.65501,0.49047,1.45643,1.54729,1.5507,1.99e-05,1.99e-05,1.99e-05
